                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5708,                 3.9204,                 1.5721,                0.00307,                0.92157,                0.22743,                0.11801,                 1.2422,                 3.8892,                 1.2174,                0.00024,                0.00024,                0.00024
                      2,                 1.2845,                 3.0572,                 1.3355,                0.00307,                0.92157,                0.41363,                0.24182,                 1.0369,                 3.5964,                 1.1464,               0.000467,               0.000467,               0.000467
                      3,                 1.1048,                 2.5245,                 1.2226,                      1,                0.13663,                0.17297,                0.11076,                0.97001,                 3.3961,                  1.079,             0.00065968,             0.00065968,             0.00065968
                      4,                 1.0151,                 2.2414,                 1.2067,                0.95067,                 0.5098,                0.68025,                0.52267,                0.83724,                 2.9166,                 1.0694,             0.00081804,             0.00081804,             0.00081804
                      5,                0.97744,                  1.928,                 1.1838,                0.80948,                0.83318,                 0.8565,                0.63933,                0.80151,                 2.6891,                 1.0607,             0.00094208,             0.00094208,             0.00094208
                      6,                0.92006,                 1.8421,                 1.1522,                0.90693,                0.84314,                0.92748,                0.74354,                0.75338,                 2.3884,                 1.0363,              0.0010318,              0.0010318,              0.0010318
                      7,                0.92287,                 1.6554,                  1.142,                0.92447,                0.84314,                0.92201,                0.76608,                0.72497,                 1.8592,                 1.0241,              0.0010872,              0.0010872,              0.0010872
                      8,                0.86933,                 1.6248,                 1.1136,                 0.9203,                0.90577,                0.96785,                0.82664,                 0.6638,                 1.7465,                0.99805,               0.001076,               0.001076,               0.001076
                      9,                0.90946,                 1.6263,                 1.1247,                0.90727,                0.95928,                  0.976,                0.81297,                0.62055,                 1.5067,                 0.9823,               0.001076,               0.001076,               0.001076
                     10,                0.84756,                 1.6033,                  1.077,                0.91814,                0.96078,                0.97819,                0.82621,                0.61422,                 1.2706,                 0.9639,               0.000944,               0.000944,               0.000944
                     11,                0.80919,                 1.3793,                 1.0751,                      1,                0.93614,                0.98988,                0.86328,                0.56949,                 1.1182,                0.94991,               0.000812,               0.000812,               0.000812
                     12,                0.74268,                 1.3403,                 1.0562,                0.99818,                0.96078,                 0.9916,                0.88417,                0.54642,                 1.1085,                0.94828,                0.00068,                0.00068,                0.00068
                     13,                0.71911,                 1.3167,                 1.0256,                0.99736,                0.94118,                0.99207,                0.88129,                0.52207,                 1.0032,                0.92438,               0.000548,               0.000548,               0.000548
                     14,                0.63882,                 1.3562,                 0.9911,                0.98061,                 0.9917,                0.99442,                 0.8812,                0.52318,                 0.9787,                0.91948,               0.000416,               0.000416,               0.000416
                     15,                0.56109,                 1.2353,                0.93935,                0.97864,                0.98039,                0.99388,                0.89423,                 0.5123,                0.96118,                0.90962,               0.000284,               0.000284,               0.000284
